年,月,日, 玉米粒, 黃豆粉 ,玉米粉 ,脫殼豆粉,高蛋白豆粉
2019,3,21,8.6,12.15,8.2,13.3,13.25
2019,3,22,8.6,12.15,8.27,13.3,13.25
2019,3,23,,,,,
2019,3,24,,,,,
2019,3,25,8.65,12.15,8.27,13.3,13.25
2019,3,26,8.65,12.2,8.3,13.3,13.3
2019,3,27,8.65,12.2,8.3,13.3,13.3
2019,3,28,8.6,12.2,8.3,13.3,13.28
2019,3,29,8.6,12.25,8.3,13.4,13.34
2019,3,30,,,,,
2019,3,31,,,,,
2019,4,1,8.6,12.25,8.3,13.4,13.34
2019,4,2,8.6,12.3,8.25,13.4,13.35
2019,4,3,8.6,12.3,8.25,13.4,13.33
2019,4,4,,,,,
2019,4,5,,,,,
2019,4,6,,,,,
2019,4,7,,,,,
2019,4,8,8.6,12.3,8.25,13.4,13.33
2019,4,9,8.6,12.3,8.25,13.4,13.33
2019,4,10,8.6,12.3,8.25,13.4,13.33
2019,4,11,8.55,12.3,8.25,13.4,13.33
2019,4,12,8.55,12.3,8.25,13.4,13.31
2019,4,13,,,,,
2019,4,14,,,,,
2019,4,15,8.5,12.3,8.25,13.4,13.32
2019,4,16,8.45,12.3,8.25,13.4,13.32
2019,4,17,8.4,12.3,8.25,13.4,13.3
2019,4,18,8.45,12.3,8.25,13.4,13.28
2019,4,19,8.25,12.3,8.22,13.4,13.28
2019,4,20,,,,,
2019,4,21,,,,,
2019,4,22,8,12.3,8.17,13.4,13.28
2019,4,23,7.95,12.3,8.15,13.4,13.28
2019,4,24,7.9,12.3,8.13,13.4,13.28
2019,4,25,7.75,12.3,8.11,13.4,13.28
2019,4,26,7.65,12.3,8.08,13.4,13.28
2019,4,27,,,,,
2019,4,28,,,,,
2019,4,29,7.5,12.3,8.03,13.4,13.28
2019,4,30,7.45,12.3,7.9,13.4,13.27
2019,5,1,,,,,
2019,5,2,7.1,12.3,7.85,13.4,13.25
2019,5,3,7.05,12.3,7.7,13.4,13.25
2019,5,4,,,,,
2019,5,5,,,,,
2019,5,6,7.08,12.3,7.6,13.4,13.22
2019,5,7,7.07,12.3,7.55,13.4,13.24
2019,5,8,7.03,12.3,7.55,13.4,13.24
2019,5,9,7.03,12.3,7.5,13.4,13.22
2019,5,10,7,12.3,7.48,13.4,13.2
2019,5,11,,,,,
2019,5,12,,,,,
